#Saved Data from the class pulsed_measurement_logic on 24.11.2022 at 15h42m40s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.1600484228134155e+02
#Measurement sweeps: -1
#Number of laser pulses: 400
#Laser ignore indices: []
#alternating: True
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.61e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 400, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal	Signal2
1.440000000000000e-06	1.092400000000000e+04	1.087600000000000e+04
1.460000000000000e-06	1.085200000000000e+04	1.079200000000000e+04
1.480000000000000e-06	1.080300000000000e+04	1.059700000000000e+04
1.500000000000000e-06	1.092800000000000e+04	1.051900000000000e+04
1.520000000000000e-06	1.065300000000000e+04	1.056000000000000e+04
1.540000000000000e-06	1.056600000000000e+04	1.069300000000000e+04
1.560000000000000e-06	1.082300000000000e+04	1.061300000000000e+04
1.580000000000000e-06	1.068000000000000e+04	1.061100000000000e+04
1.600000000000000e-06	1.081700000000000e+04	1.081500000000000e+04
1.620000000000000e-06	1.043000000000000e+04	1.066900000000000e+04
1.640000000000000e-06	1.068600000000000e+04	1.059100000000000e+04
1.660000000000000e-06	1.095900000000000e+04	1.078200000000000e+04
1.680000000000000e-06	1.074100000000000e+04	1.081400000000000e+04
1.700000000000000e-06	1.081500000000000e+04	1.064000000000000e+04
1.720000000000000e-06	1.074600000000000e+04	1.068700000000000e+04
1.740000000000000e-06	1.066500000000000e+04	1.047700000000000e+04
1.760000000000000e-06	1.089800000000000e+04	1.068400000000000e+04
1.780000000000000e-06	1.073900000000000e+04	1.055700000000000e+04
1.800000000000000e-06	1.062400000000000e+04	1.081000000000000e+04
1.820000000000000e-06	1.077100000000000e+04	1.088200000000000e+04
1.840000000000000e-06	1.101400000000000e+04	1.078900000000000e+04
1.860000000000000e-06	1.092800000000000e+04	1.062600000000000e+04
1.880000000000000e-06	1.092900000000000e+04	1.068200000000000e+04
1.900000000000000e-06	1.048300000000000e+04	1.073900000000000e+04
1.920000000000000e-06	1.071300000000000e+04	1.055100000000000e+04
1.940000000000000e-06	1.077300000000000e+04	1.077400000000000e+04
1.960000000000000e-06	1.076100000000000e+04	1.090600000000000e+04
1.980000000000000e-06	1.083400000000000e+04	1.055700000000000e+04
2.000000000000000e-06	1.082200000000000e+04	1.085700000000000e+04
2.020000000000000e-06	1.090900000000000e+04	1.109400000000000e+04
2.040000000000000e-06	1.063700000000000e+04	1.058000000000000e+04
2.060000000000000e-06	1.059700000000000e+04	1.075600000000000e+04
2.080000000000000e-06	1.051200000000000e+04	1.075000000000000e+04
2.100000000000000e-06	1.087000000000000e+04	1.086400000000000e+04
2.120000000000000e-06	1.055700000000000e+04	1.066100000000000e+04
2.140000000000000e-06	1.071200000000000e+04	1.067300000000000e+04
2.160000000000000e-06	1.073900000000000e+04	1.085300000000000e+04
2.180000000000000e-06	1.095400000000000e+04	1.050800000000000e+04
2.200000000000000e-06	1.063900000000000e+04	1.054400000000000e+04
2.220000000000000e-06	1.087400000000000e+04	1.089700000000000e+04
2.240000000000000e-06	1.101900000000000e+04	1.063200000000000e+04
2.260000000000000e-06	1.079400000000000e+04	1.079200000000000e+04
2.280000000000000e-06	1.085400000000000e+04	1.064000000000000e+04
2.300000000000000e-06	1.083500000000000e+04	1.060600000000000e+04
2.320000000000000e-06	1.077000000000000e+04	1.087800000000000e+04
2.340000000000000e-06	1.068900000000000e+04	1.070000000000000e+04
2.360000000000000e-06	1.058600000000000e+04	1.056100000000000e+04
2.380000000000000e-06	1.085600000000000e+04	1.062900000000000e+04
2.400000000000000e-06	1.073500000000000e+04	1.085100000000000e+04
2.420000000000000e-06	1.072700000000000e+04	1.069900000000000e+04
2.440000000000000e-06	1.067000000000000e+04	1.071200000000000e+04
2.460000000000000e-06	1.066800000000000e+04	1.081800000000000e+04
2.480000000000000e-06	1.094000000000000e+04	1.057300000000000e+04
2.500000000000000e-06	1.093400000000000e+04	1.052900000000000e+04
2.520000000000000e-06	1.065800000000000e+04	1.071100000000000e+04
2.540000000000000e-06	1.080500000000000e+04	1.065700000000000e+04
2.560000000000000e-06	1.060400000000000e+04	1.079200000000000e+04
2.580000000000000e-06	1.065000000000000e+04	1.079200000000000e+04
2.600000000000000e-06	1.063100000000000e+04	1.064400000000000e+04
2.620000000000000e-06	1.067200000000000e+04	1.087200000000000e+04
2.640000000000000e-06	1.072100000000000e+04	1.061700000000000e+04
2.660000000000000e-06	1.081100000000000e+04	1.090100000000000e+04
2.680000000000000e-06	1.070800000000000e+04	1.074100000000000e+04
2.700000000000000e-06	1.073000000000000e+04	1.059100000000000e+04
2.720000000000000e-06	1.080000000000000e+04	1.066600000000000e+04
2.740000000000000e-06	1.055700000000000e+04	1.069100000000000e+04
2.760000000000000e-06	1.073700000000000e+04	1.074700000000000e+04
2.780000000000000e-06	1.083900000000000e+04	1.084700000000000e+04
2.800000000000000e-06	1.064700000000000e+04	1.078000000000000e+04
2.820000000000000e-06	1.070400000000000e+04	1.072900000000000e+04
2.840000000000000e-06	1.081700000000000e+04	1.058500000000000e+04
2.860000000000000e-06	1.056500000000000e+04	1.094800000000000e+04
2.880000000000000e-06	1.066700000000000e+04	1.051000000000000e+04
2.900000000000000e-06	1.073200000000000e+04	1.068200000000000e+04
2.920000000000000e-06	1.083200000000000e+04	1.073800000000000e+04
2.940000000000000e-06	1.064500000000000e+04	1.086900000000000e+04
2.960000000000000e-06	1.078600000000000e+04	1.080200000000000e+04
2.980000000000000e-06	1.086000000000000e+04	1.080500000000000e+04
3.000000000000000e-06	1.063200000000000e+04	1.082200000000000e+04
3.020000000000000e-06	1.099700000000000e+04	1.077600000000000e+04
3.040000000000000e-06	1.093600000000000e+04	1.076200000000000e+04
3.060000000000000e-06	1.077700000000000e+04	1.068400000000000e+04
3.080000000000000e-06	1.077900000000000e+04	1.064100000000000e+04
3.100000000000000e-06	1.067000000000000e+04	1.067500000000000e+04
3.120000000000000e-06	1.084800000000000e+04	1.074600000000000e+04
3.140000000000000e-06	1.051700000000000e+04	1.105200000000000e+04
3.160000000000000e-06	1.060900000000000e+04	1.076600000000000e+04
3.180000000000000e-06	1.059500000000000e+04	1.103200000000000e+04
3.200000000000000e-06	1.074300000000000e+04	1.062500000000000e+04
3.220000000000000e-06	1.061700000000000e+04	1.081200000000000e+04
3.240000000000000e-06	1.073400000000000e+04	1.083400000000000e+04
3.260000000000000e-06	1.048400000000000e+04	1.070600000000000e+04
3.280000000000000e-06	1.081900000000000e+04	1.055100000000000e+04
3.300000000000000e-06	1.061500000000000e+04	1.086200000000000e+04
3.320000000000000e-06	1.092700000000000e+04	1.053800000000000e+04
3.340000000000000e-06	1.071000000000000e+04	1.073700000000000e+04
3.360000000000000e-06	1.084600000000000e+04	1.082800000000000e+04
3.380000000000000e-06	1.075700000000000e+04	1.071800000000000e+04
3.400000000000000e-06	1.088400000000000e+04	1.073100000000000e+04
3.420000000000000e-06	1.084300000000000e+04	1.065100000000000e+04
3.440000000000000e-06	1.082200000000000e+04	1.076200000000000e+04
3.460000000000000e-06	1.040300000000000e+04	1.067800000000000e+04
3.480000000000000e-06	1.088900000000000e+04	1.064000000000000e+04
3.500000000000000e-06	1.057300000000000e+04	1.073600000000000e+04
3.520000000000000e-06	1.063900000000000e+04	1.062200000000000e+04
3.540000000000000e-06	1.068100000000000e+04	1.074000000000000e+04
3.560000000000000e-06	1.077400000000000e+04	1.087800000000000e+04
3.580000000000000e-06	1.082500000000000e+04	1.082000000000000e+04
3.600000000000000e-06	1.066100000000000e+04	1.060100000000000e+04
3.620000000000000e-06	1.074200000000000e+04	1.081700000000000e+04
3.640000000000000e-06	1.072400000000000e+04	1.053200000000000e+04
3.660000000000000e-06	1.049700000000000e+04	1.065000000000000e+04
3.680000000000000e-06	1.078700000000000e+04	1.058400000000000e+04
3.700000000000000e-06	1.060000000000000e+04	1.081900000000000e+04
3.720000000000000e-06	1.081100000000000e+04	1.083200000000000e+04
3.740000000000000e-06	1.071000000000000e+04	1.086600000000000e+04
3.760000000000000e-06	1.076900000000000e+04	1.079600000000000e+04
3.780000000000000e-06	1.056000000000000e+04	1.094600000000000e+04
3.800000000000000e-06	1.072700000000000e+04	1.060500000000000e+04
3.820000000000000e-06	1.058500000000000e+04	1.066500000000000e+04
3.840000000000001e-06	1.067900000000000e+04	1.084800000000000e+04
3.860000000000000e-06	1.073300000000000e+04	1.093900000000000e+04
3.880000000000000e-06	1.052400000000000e+04	1.068900000000000e+04
3.900000000000000e-06	1.067400000000000e+04	1.086100000000000e+04
3.920000000000000e-06	1.080200000000000e+04	1.077200000000000e+04
3.940000000000000e-06	1.044900000000000e+04	1.083100000000000e+04
3.960000000000000e-06	1.074300000000000e+04	1.067100000000000e+04
3.980000000000000e-06	1.061900000000000e+04	1.101900000000000e+04
