#Saved Data from the class pulsed_measurement_logic on 09.02.2023 at 16h54m02s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.6268500709533691e+02
#Measurement sweeps: -1
#Number of laser pulses: 200
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.3800000000000004e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 200, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
4.900000000000001e-07	5.756000000000000e+03
5.000000000000000e-07	5.062000000000000e+03
5.100000000000000e-07	4.914000000000000e+03
5.200000000000000e-07	5.138000000000000e+03
5.300000000000000e-07	5.725000000000000e+03
5.400000000000000e-07	6.337000000000000e+03
5.500000000000000e-07	6.599000000000000e+03
5.600000000000000e-07	6.203000000000000e+03
5.700000000000000e-07	5.413000000000000e+03
5.800000000000001e-07	4.818000000000000e+03
5.900000000000001e-07	5.016000000000000e+03
6.000000000000000e-07	5.396000000000000e+03
6.100000000000000e-07	5.966000000000000e+03
6.200000000000000e-07	6.664000000000000e+03
6.300000000000000e-07	6.590000000000000e+03
6.400000000000000e-07	6.001000000000000e+03
6.500000000000000e-07	5.354000000000000e+03
6.600000000000000e-07	4.995000000000000e+03
6.700000000000000e-07	5.023000000000000e+03
6.800000000000001e-07	5.514000000000000e+03
6.900000000000001e-07	6.048000000000000e+03
7.000000000000001e-07	6.240000000000000e+03
7.100000000000000e-07	6.377000000000000e+03
7.200000000000000e-07	5.884000000000000e+03
7.300000000000000e-07	5.303000000000000e+03
7.400000000000000e-07	4.940000000000000e+03
7.500000000000000e-07	4.977000000000000e+03
7.600000000000000e-07	5.404000000000000e+03
7.700000000000000e-07	6.111000000000000e+03
7.800000000000000e-07	6.333000000000000e+03
7.900000000000001e-07	6.135000000000000e+03
8.000000000000001e-07	5.891000000000000e+03
8.100000000000000e-07	5.262000000000000e+03
8.200000000000000e-07	5.146000000000000e+03
8.300000000000000e-07	5.378000000000000e+03
8.400000000000000e-07	5.636000000000000e+03
8.500000000000000e-07	6.075000000000000e+03
8.600000000000000e-07	6.641000000000000e+03
8.700000000000000e-07	6.043000000000000e+03
8.800000000000000e-07	5.798000000000000e+03
8.900000000000001e-07	5.246000000000000e+03
9.000000000000001e-07	5.003000000000000e+03
9.100000000000001e-07	5.183000000000000e+03
9.200000000000000e-07	5.774000000000000e+03
9.300000000000000e-07	5.959000000000000e+03
9.400000000000000e-07	6.382000000000000e+03
9.500000000000000e-07	5.915000000000000e+03
9.599999999999999e-07	5.348000000000000e+03
9.700000000000000e-07	5.360000000000000e+03
9.799999999999999e-07	5.165000000000000e+03
9.899999999999998e-07	5.397000000000000e+03
1.000000000000000e-06	6.004000000000000e+03
1.010000000000000e-06	6.203000000000000e+03
1.020000000000000e-06	6.227000000000000e+03
1.030000000000000e-06	5.845000000000000e+03
1.040000000000000e-06	5.670000000000000e+03
1.050000000000000e-06	5.305000000000000e+03
1.060000000000000e-06	5.239000000000000e+03
1.070000000000000e-06	5.359000000000000e+03
1.080000000000000e-06	5.828000000000000e+03
1.090000000000000e-06	6.269000000000000e+03
1.100000000000000e-06	6.122000000000000e+03
1.110000000000000e-06	6.068000000000000e+03
1.120000000000000e-06	5.546000000000000e+03
1.130000000000000e-06	5.349000000000000e+03
1.140000000000000e-06	5.095000000000000e+03
1.150000000000000e-06	5.429000000000000e+03
1.160000000000000e-06	5.725000000000000e+03
1.170000000000000e-06	5.935000000000000e+03
1.180000000000000e-06	6.084000000000000e+03
1.190000000000000e-06	6.003000000000000e+03
1.200000000000000e-06	5.795000000000000e+03
1.210000000000000e-06	5.329000000000000e+03
1.220000000000000e-06	5.183000000000000e+03
1.230000000000000e-06	5.490000000000000e+03
1.240000000000000e-06	6.169000000000000e+03
1.250000000000000e-06	6.203000000000000e+03
1.260000000000000e-06	6.036000000000000e+03
1.270000000000000e-06	5.971000000000000e+03
1.280000000000000e-06	5.576000000000000e+03
1.290000000000000e-06	5.345000000000000e+03
1.300000000000000e-06	5.385000000000000e+03
1.310000000000000e-06	5.605000000000000e+03
1.320000000000000e-06	5.748000000000000e+03
1.330000000000000e-06	6.283000000000000e+03
1.340000000000000e-06	6.140000000000000e+03
1.350000000000000e-06	5.810000000000000e+03
1.360000000000000e-06	5.508000000000000e+03
1.370000000000000e-06	5.398000000000000e+03
1.380000000000000e-06	5.550000000000000e+03
1.390000000000000e-06	5.513000000000000e+03
1.400000000000000e-06	5.803000000000000e+03
1.410000000000000e-06	6.101000000000000e+03
1.420000000000000e-06	5.962000000000000e+03
1.430000000000000e-06	6.012000000000000e+03
1.440000000000000e-06	5.558000000000000e+03
1.450000000000000e-06	5.303000000000000e+03
1.460000000000000e-06	5.227000000000000e+03
1.470000000000000e-06	5.518000000000000e+03
1.480000000000000e-06	5.783000000000000e+03
1.490000000000000e-06	5.903000000000000e+03
1.500000000000000e-06	6.240000000000000e+03
1.510000000000000e-06	5.929000000000000e+03
1.520000000000000e-06	5.679000000000000e+03
1.530000000000000e-06	5.446000000000000e+03
1.540000000000000e-06	5.203000000000000e+03
1.550000000000000e-06	5.601000000000000e+03
1.560000000000000e-06	5.786000000000000e+03
1.570000000000000e-06	6.061000000000000e+03
1.580000000000000e-06	6.092000000000000e+03
1.590000000000000e-06	5.932000000000000e+03
1.600000000000000e-06	5.767000000000000e+03
1.610000000000000e-06	5.295000000000000e+03
1.620000000000000e-06	5.363000000000000e+03
1.630000000000000e-06	5.308000000000000e+03
1.640000000000000e-06	5.838000000000000e+03
1.650000000000000e-06	6.087000000000000e+03
1.660000000000000e-06	6.177000000000000e+03
1.670000000000000e-06	6.008000000000000e+03
1.680000000000000e-06	5.650000000000000e+03
1.690000000000000e-06	5.369000000000000e+03
1.700000000000000e-06	5.343000000000000e+03
1.710000000000000e-06	5.370000000000000e+03
1.720000000000000e-06	5.774000000000000e+03
1.730000000000000e-06	6.107000000000000e+03
1.740000000000000e-06	6.253000000000000e+03
1.750000000000000e-06	6.100000000000000e+03
1.760000000000000e-06	5.629000000000000e+03
1.770000000000000e-06	5.576000000000000e+03
1.780000000000000e-06	5.385000000000000e+03
1.790000000000000e-06	5.569000000000000e+03
1.800000000000000e-06	5.586000000000000e+03
1.810000000000000e-06	6.098000000000000e+03
1.820000000000000e-06	6.112000000000000e+03
1.830000000000000e-06	5.939000000000000e+03
1.840000000000000e-06	5.555000000000000e+03
1.850000000000000e-06	5.174000000000000e+03
1.860000000000000e-06	5.149000000000000e+03
1.870000000000000e-06	5.386000000000000e+03
1.880000000000000e-06	5.797000000000000e+03
1.890000000000000e-06	6.043000000000000e+03
1.900000000000000e-06	6.245000000000000e+03
1.910000000000000e-06	5.730000000000000e+03
1.920000000000000e-06	5.776000000000000e+03
1.930000000000000e-06	5.304000000000000e+03
1.940000000000000e-06	5.145000000000000e+03
1.950000000000000e-06	5.493000000000000e+03
1.960000000000000e-06	5.847000000000000e+03
1.970000000000000e-06	6.233000000000000e+03
1.980000000000000e-06	6.458000000000000e+03
1.990000000000000e-06	5.889000000000000e+03
2.000000000000000e-06	5.663000000000000e+03
