#Saved Data from the class pulsed_measurement_logic_clone on 10.02.2023 at 18h26m17s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 6.3086361312866211e+02
#Measurement sweeps: -1
#Number of laser pulses: 600
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 0.0, 'signal_end': 3.7200000000000005e-07, 'method': 'sum'}
#extraction parameters: {'conv_std_dev': 20.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 600, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.520000000000000e-06	3.492000000000000e+03
1.530000000000000e-06	3.532000000000000e+03
1.540000000000000e-06	3.636000000000000e+03
1.550000000000000e-06	3.680000000000000e+03
1.560000000000000e-06	3.441000000000000e+03
1.570000000000000e-06	3.318000000000000e+03
1.580000000000000e-06	2.896000000000000e+03
1.590000000000000e-06	3.025000000000000e+03
1.600000000000000e-06	3.045000000000000e+03
1.610000000000000e-06	3.365000000000000e+03
1.620000000000000e-06	3.650000000000000e+03
1.630000000000000e-06	3.576000000000000e+03
1.640000000000000e-06	3.659000000000000e+03
1.650000000000000e-06	3.496000000000000e+03
1.660000000000000e-06	3.193000000000000e+03
1.670000000000000e-06	3.183000000000000e+03
1.680000000000000e-06	2.953000000000000e+03
1.690000000000000e-06	2.923000000000000e+03
1.700000000000000e-06	3.364000000000000e+03
1.710000000000000e-06	3.466000000000000e+03
1.720000000000000e-06	3.775000000000000e+03
1.730000000000000e-06	3.565000000000000e+03
1.740000000000000e-06	3.347000000000000e+03
1.750000000000000e-06	3.257000000000000e+03
1.760000000000000e-06	2.963000000000000e+03
1.770000000000000e-06	3.076000000000000e+03
1.780000000000000e-06	3.127000000000000e+03
1.790000000000000e-06	3.179000000000000e+03
1.800000000000000e-06	3.615000000000000e+03
1.810000000000000e-06	3.743000000000000e+03
1.820000000000000e-06	3.727000000000000e+03
1.830000000000000e-06	3.523000000000000e+03
1.840000000000000e-06	3.240000000000000e+03
1.850000000000000e-06	3.104000000000000e+03
1.860000000000000e-06	2.959000000000000e+03
1.870000000000000e-06	3.038000000000000e+03
1.880000000000000e-06	3.202000000000000e+03
1.890000000000000e-06	3.525000000000000e+03
1.900000000000000e-06	3.524000000000000e+03
1.910000000000000e-06	3.515000000000000e+03
1.920000000000000e-06	3.574000000000000e+03
1.930000000000000e-06	3.306000000000000e+03
1.940000000000000e-06	2.974000000000000e+03
1.950000000000000e-06	3.014000000000000e+03
1.960000000000000e-06	3.022000000000000e+03
1.970000000000000e-06	3.377000000000000e+03
1.980000000000000e-06	3.466000000000000e+03
1.990000000000000e-06	3.699000000000000e+03
2.000000000000000e-06	3.620000000000000e+03
2.010000000000000e-06	3.535000000000000e+03
2.020000000000000e-06	3.153000000000000e+03
2.030000000000000e-06	3.071000000000000e+03
2.040000000000000e-06	3.016000000000000e+03
2.050000000000000e-06	3.042000000000000e+03
2.060000000000000e-06	3.326000000000000e+03
2.070000000000000e-06	3.563000000000000e+03
2.080000000000000e-06	3.606000000000000e+03
2.090000000000000e-06	3.660000000000000e+03
2.100000000000000e-06	3.465000000000000e+03
2.110000000000000e-06	3.464000000000000e+03
2.120000000000000e-06	3.005000000000000e+03
2.130000000000000e-06	3.104000000000000e+03
2.140000000000000e-06	3.094000000000000e+03
2.150000000000000e-06	3.242000000000000e+03
2.160000000000000e-06	3.571000000000000e+03
2.170000000000000e-06	3.774000000000000e+03
2.180000000000000e-06	3.777000000000000e+03
2.190000000000000e-06	3.631000000000000e+03
2.200000000000000e-06	3.288000000000000e+03
2.210000000000000e-06	3.235000000000000e+03
2.220000000000000e-06	3.005000000000000e+03
2.230000000000000e-06	3.127000000000000e+03
2.240000000000000e-06	3.278000000000000e+03
2.250000000000000e-06	3.441000000000000e+03
2.260000000000000e-06	3.688000000000000e+03
2.270000000000000e-06	3.708000000000000e+03
2.280000000000000e-06	3.673000000000000e+03
2.290000000000000e-06	3.440000000000000e+03
2.300000000000000e-06	3.155000000000000e+03
2.310000000000000e-06	3.028000000000000e+03
2.320000000000000e-06	3.062000000000000e+03
2.330000000000000e-06	3.095000000000000e+03
2.340000000000000e-06	3.368000000000000e+03
2.350000000000000e-06	3.541000000000000e+03
2.360000000000000e-06	3.666000000000000e+03
2.370000000000000e-06	3.689000000000000e+03
2.380000000000000e-06	3.357000000000000e+03
2.390000000000000e-06	3.210000000000000e+03
2.400000000000000e-06	3.048000000000000e+03
2.410000000000000e-06	2.930000000000000e+03
2.420000000000000e-06	3.226000000000000e+03
2.430000000000000e-06	3.417000000000000e+03
2.440000000000000e-06	3.576000000000000e+03
2.450000000000000e-06	3.822000000000000e+03
2.460000000000000e-06	3.523000000000000e+03
2.470000000000000e-06	3.354000000000000e+03
2.480000000000000e-06	3.166000000000000e+03
2.490000000000000e-06	3.009000000000000e+03
2.500000000000000e-06	3.123000000000000e+03
2.510000000000000e-06	3.202000000000000e+03
2.520000000000000e-06	3.217000000000000e+03
2.530000000000000e-06	3.520000000000000e+03
2.540000000000000e-06	3.635000000000000e+03
2.550000000000000e-06	3.684000000000000e+03
2.560000000000000e-06	3.520000000000000e+03
2.570000000000000e-06	3.178000000000000e+03
2.580000000000000e-06	2.947000000000000e+03
2.590000000000000e-06	2.919000000000000e+03
2.600000000000000e-06	3.027000000000000e+03
2.610000000000000e-06	3.357000000000000e+03
2.620000000000000e-06	3.570000000000000e+03
